player,tm,zone,stat,value,shots,percent,FGA
Moriah Jefferson,DAL,right,FGM,0,made,0,1
Myisha Hines-Allen,WAS,right,FGM,0,made,0,0
Napheesa Collier,MIN,right,FGM,1,made,100,1
Natalie Achonwa,IND,right,FGM,0,made,0,0
Natasha Howard,SEA,right,FGM,0,made,0,0
Natisha Hiedeman,CON,right,FGM,0,made,0,1
Nia Coffey,PHO,right,FGM,0,made,0,0
Nneka Ogwumike,LAS,right,FGM,0,made,0,0
Odyssey Sims,MIN,right,FGM,0,made,0,0
Paris Kea,NYL,right,FGM,0,made,0,0
Rachel Banham,MIN,right,FGM,1,made,100,1
Reshanda Gray,LAS,right,FGM,0,made,0,0
Riquna Williams,LAS,right,FGM,1,made,100,1
Ruthy Hebard,CHI,right,FGM,0,made,0,0
Sabrina Ionescu,NYL,right,FGM,0,made,0,0
Sami Whitcomb,SEA,right,FGM,2,made,33.3,6
Satou Sabally,DAL,right,FGM,3,made,100,3
Seimone Augustus,LAS,right,FGM,0,made,0,0
Shatori Walker-Kimbrough,PHO,right,FGM,0,made,0,0
Shekinna Stricklen,ATL,right,FGM,0,made,0,1
Shenise Johnson,MIN,right,FGM,0,made,0,0
Shey Peddy,PHO,right,FGM,0,made,0,0
Skylar Diggins-Smith,PHO,right,FGM,1,made,50,2
Sophie Cunningham,PHO,right,FGM,1,made,33.3,3
Stefanie Dolson,CHI,right,FGM,0,made,0,0
Stella Johnson,WAS,right,FGM,0,made,0,0
Stephanie Mavunga,CHI,right,FGM,0,made,0,0
Sue Bird,SEA,right,FGM,1,made,100,1
Sug Sutton,WAS,right,FGM,0,made,0,0
Sugar Rodgers,LVA,right,FGM,1,made,50,2
Sydney Colson,CHI,right,FGM,0,made,0,0
Sydney Wiese,LAS,right,FGM,0,made,0,1
Sylvia Fowles,MIN,right,FGM,0,made,0,0
Te'a Cooper,LAS,right,FGM,0,made,0,0
Teaira Mccowan,IND,right,FGM,0,made,0,0
Theresa Plaisance,CON,right,FGM,0,made,0,0
Tianna Hawkins,WAS,right,FGM,0,made,0,0
Tierra Ruffin-Pratt,LAS,right,FGM,1,made,100,1
Tiffany Mitchell,IND,right,FGM,1,made,50,2
Tyasha Harris,DAL,right,FGM,0,made,0,1
Victoria Vivians,IND,right,FGM,0,made,0,0
A'ja Wilson,LVA,break,FGM,0,made,0,0
Aerial Powers,WAS,break,FGM,9,made,39.1,23
Alaina Coates,WAS,break,FGM,0,made,0,0
Alanna Smith,PHO,break,FGM,9,made,21.4,42
Alexis Jones,ATL,break,FGM,7,made,36.8,19
Alexis Prince,CHI,break,FGM,2,made,66.7,3
Alisia Jenkins,PHO,break,FGM,0,made,0,3
Allie Quigley,CHI,break,FGM,42,made,33.6,125
Allisha Gray,DAL,break,FGM,23,made,34.3,67
Alysha Clark,SEA,break,FGM,30,made,50,60
Alyssa Thomas,CON,break,FGM,0,made,0,1
Amanda Zahui B,NYL,break,FGM,34,made,34.3,99
Angel Mccoughtry,LVA,break,FGM,16,made,47.1,34
Ariel Atkins,WAS,break,FGM,41,made,41.4,99
Arike Ogunbowale,DAL,break,FGM,48,made,34.8,138
Astou Ndour,DAL,break,FGM,5,made,20.8,24
Avery Warley-Talbert,LVA,break,FGM,0,made,0,0
Azur¡ Stevens,CHI,break,FGM,11,made,32.4,34
Beatrice Mompremier,CON,break,FGM,0,made,0,0
Bella Alarie,DAL,break,FGM,1,made,7.7,13
Betnijah Laney,ATL,break,FGM,28,made,44.4,63
Blake Dietrick,ATL,break,FGM,25,made,44.6,56
